col1,col2,modifier_indicator
00103,99328,0
00103,99331,0
00103,99332,0
00103,99333,0
00103,99334,0
00103,99334,0
00103,99335,0
00103,99335,0
00103,99336,0
00103,99336,0
00103,99337,0
00103,99337,0
00103,99341,0
00103,99341,0
00103,99342,0
00103,99342,0
00103,99343,0
00103,99343,0
00103,99347,0
00103,99347,0
00103,99348,0
00103,99348,0
00103,99349,0
00103,99349,0
00103,99351,0
00103,99352,0
00103,99353,0
00103,99354,0
00103,99354,0
00103,99355,0
00103,99355,0
00103,99356,0
00103,99356,0
00103,99357,0
00103,99357,0
00103,99358,0
00103,99359,0
00103,99415,0
00103,99416,0
00103,99418,0
00103,99446,0
00103,99447,0
00103,99448,0
00103,99449,0
00103,99451,0
00103,99452,0
00103,99466,0
00103,99468,0
00103,99468,0
00103,99469,0
00103,99469,0
00103,99471,0
00103,99471,0
00103,99472,0
00103,99472,0
00103,99475,0
00103,99475,0
00103,99476,0
00103,99476,0
00103,99477,0
00103,99477,0
00103,99478,0
